City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Rocha,UY,-34.4833,-54.3333,51.58,95,100,8.99,overcast clouds
140,Champerico,GT,14.3,-91.9167,79.68,83,100,12.73,overcast clouds
141,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,76,100,10.0,overcast clouds
142,Kokopo,PG,-4.352,152.2633,85.24,64,37,5.59,scattered clouds
143,Ibatiba,BR,-20.2339,-41.5106,55.78,96,0,2.77,clear sky
144,Goba,ET,7.0167,39.9833,49.69,79,100,4.52,overcast clouds
145,Biak,ID,-0.9131,122.8766,82.08,73,79,4.76,broken clouds
146,Ancud,CL,-41.8697,-73.8203,39.52,82,6,5.41,clear sky
147,Alugan,PH,12.2188,125.4808,83.62,76,100,8.72,overcast clouds
148,Nome,US,64.5011,-165.4064,51.17,66,0,10.36,clear sky
149,Hovd,MN,48.0056,91.6419,73.62,27,100,2.64,overcast clouds
150,Iglino,RU,54.8324,56.4126,42.89,90,90,5.41,overcast clouds
151,Chiredzi,ZW,-21.05,31.6667,62.02,60,0,3.0,clear sky
152,Chikodi,IN,16.4333,74.6,71.94,83,59,10.69,broken clouds
153,Nelson Bay,AU,-32.7167,152.15,59.05,74,60,0.65,broken clouds
154,Qarchi Gak,AF,37.04,66.7889,82.38,22,100,20.0,overcast clouds
155,Skibbereen,IE,51.55,-9.2667,57.11,92,100,16.42,overcast clouds
156,Viedma,AR,-40.8135,-62.9967,39.94,61,0,6.17,clear sky
157,Ambilobe,MG,-13.2,49.05,67.66,91,6,3.44,clear sky
158,Aranos,NA,-24.1333,19.1167,59.27,26,0,9.46,clear sky
159,Buta,CD,2.7858,24.73,67.42,100,100,0.54,light rain
160,Cidreira,BR,-30.1811,-50.2056,65.43,84,89,3.4,overcast clouds
161,Laguna,US,38.421,-121.4238,102.94,23,0,8.05,clear sky
162,Matnog,PH,12.5878,124.0875,84.67,71,100,4.81,overcast clouds
163,Acajutla,SV,13.5928,-89.8275,80.85,78,99,6.73,overcast clouds
164,Lerwick,GB,60.1545,-1.1494,48.2,82,4,18.37,clear sky
165,Ivanovka,KG,42.8878,75.085,69.66,50,7,4.36,clear sky
166,Inhambane,MZ,-23.865,35.3833,67.53,89,0,4.16,clear sky
167,Tapah,MY,4.2004,101.2598,76.91,67,100,0.92,overcast clouds
168,Vianen,NL,51.9925,5.0917,58.98,91,66,11.72,broken clouds
169,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,66.69,77,92,3.06,moderate rain
170,Fukaya,JP,36.2,139.2833,74.97,53,100,4.99,overcast clouds
171,Adrar,MR,20.5022,-10.0711,88.03,13,0,8.77,clear sky
172,Carbonia,IT,39.1672,8.5222,66.85,93,100,8.99,light rain
173,Caarapo,BR,-22.6342,-54.8222,65.68,64,2,5.64,clear sky
174,Hasaki,JP,35.7333,140.8333,77.29,69,87,10.16,overcast clouds
175,Esperance,AU,-33.8667,121.9,60.64,69,7,8.75,clear sky
176,Tahe,CN,52.3333,124.7333,74.14,26,18,4.16,few clouds
177,Mahebourg,MU,-20.4081,57.7,70.25,88,20,2.3,few clouds
178,Ulladulla,AU,-35.35,150.4667,63.64,65,100,4.38,light rain
179,Khandyga,RU,62.6667,135.6,45.68,53,99,1.7,overcast clouds
180,Lebu,CL,-37.6167,-73.65,46.98,82,8,15.88,clear sky
181,Kaitangata,NZ,-46.2817,169.8464,47.68,66,51,8.14,broken clouds
182,Mehamn,NO,71.0357,27.8492,46.31,64,18,11.9,few clouds
183,Octeville,FR,49.6261,-1.6435,55.89,88,100,14.97,overcast clouds
184,Tual,ID,-5.6667,132.75,82.78,75,45,8.97,scattered clouds
185,Penapolis,BR,-21.4197,-50.0775,62.02,52,0,6.33,clear sky
186,Guozhen,CN,34.3659,107.359,71.73,61,100,1.57,overcast clouds
187,Gazli,UZ,40.1333,63.45,72.19,34,3,19.86,clear sky
188,Tessalit,ML,20.1986,1.0114,86.5,28,100,8.1,overcast clouds
189,Inzer,RU,54.2167,57.5556,44.65,95,100,2.73,overcast clouds
190,Sibolga,ID,1.7427,98.7792,79.74,72,100,1.21,overcast clouds
191,Homestead,US,25.4687,-80.4776,82.42,84,100,6.91,overcast clouds
192,Hobyo,SO,5.3505,48.5268,78.85,82,79,22.41,broken clouds
193,Grand-Santi,GF,4.25,-54.3833,72.72,99,100,2.1,overcast clouds
194,Byron Bay,AU,-28.65,153.6167,68.7,76,29,8.79,scattered clouds
195,Tuljapur,IN,18.0,76.0833,79.34,49,26,12.77,scattered clouds
196,Buraydah,SA,26.326,43.975,84.65,17,73,18.52,broken clouds
197,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,3,6.4,clear sky
198,Toguchin,RU,55.2353,84.3858,63.32,70,5,13.58,clear sky
199,Vung Tau,VN,10.346,107.0843,81.48,81,100,14.85,overcast clouds
200,Taltal,CL,-25.4,-70.4833,60.94,76,29,2.89,scattered clouds
201,Saint-Francois,FR,46.4154,3.9054,47.68,100,0,1.14,clear sky
202,Portland,US,45.5234,-122.6762,74.68,53,75,5.75,broken clouds
203,Coahuayana,MX,18.7333,-103.6833,78.44,75,100,5.08,overcast clouds
204,Marawi,PH,7.9986,124.2928,78.19,73,78,1.57,broken clouds
205,Rurrenabaque,BO,-14.4413,-67.5278,71.17,98,100,1.1,overcast clouds
206,Isangel,VU,-19.55,169.2667,81.57,67,10,1.19,clear sky
207,Nouadhibou,MR,20.931,-17.0347,66.18,88,0,13.8,clear sky
208,Sinnamary,GF,5.3833,-52.95,78.12,88,54,8.21,broken clouds
209,Kalisz,PL,51.7611,18.091,49.39,92,10,8.16,clear sky
210,Starkville,US,33.4504,-88.8184,69.24,94,100,7.36,overcast clouds
211,Half Moon Bay,US,37.4636,-122.4286,88.57,61,40,14.97,scattered clouds
212,Leningradskiy,RU,69.3833,178.4167,47.66,65,98,7.16,overcast clouds
213,Rawson,AR,-43.3002,-65.1023,42.96,38,0,8.34,clear sky
214,Torbay,CA,47.6666,-52.7314,40.26,68,20,5.75,few clouds
215,San Patricio,US,28.017,-97.5169,83.84,67,81,5.14,broken clouds
216,Qasigiannguit,GL,68.8193,-51.1922,37.65,79,83,8.95,broken clouds
217,Broken Hill,AU,-31.95,141.4333,60.37,71,83,4.88,broken clouds
218,Kaeo,NZ,-35.1,173.7833,67.32,68,10,3.4,clear sky
219,Shimoda,JP,34.6667,138.95,71.96,77,100,6.42,overcast clouds
220,Nola,IT,40.922,14.5329,75.92,71,100,3.74,overcast clouds
221,Olafsvik,IS,64.8945,-23.7142,42.57,81,95,9.91,overcast clouds
222,Denpasar,ID,-8.65,115.2167,82.06,89,40,4.61,scattered clouds
223,Rassvet,RU,46.8333,40.75,51.31,92,81,4.47,broken clouds
224,Lianran,CN,24.9227,102.485,66.74,80,33,2.89,scattered clouds
225,Sharlyk,RU,52.9167,54.75,41.2,91,9,6.85,clear sky
226,Bartica,GY,6.4,-58.6167,77.32,98,100,2.3,overcast clouds
227,Iqaluit,CA,63.7506,-68.5145,11.93,78,20,11.5,few clouds
228,Bac Lieu,VN,9.285,105.7244,84.13,75,100,13.09,overcast clouds
229,Broome,US,42.2506,-75.833,67.86,59,0,8.05,clear sky
230,Waharoa,NZ,-37.7667,175.7667,64.9,57,7,4.74,clear sky
231,Maragogi,BR,-9.0122,-35.2225,75.94,88,95,10.83,overcast clouds
232,Hervey Bay,AU,-25.2986,152.8535,73.02,81,19,5.99,few clouds
233,Avinurme,EE,58.9822,26.8642,52.75,77,100,3.38,overcast clouds
234,Luderitz,NA,-26.6481,15.1594,57.33,77,0,6.82,clear sky
235,Whitehorse,CA,60.7161,-135.0538,54.37,40,75,17.0,broken clouds
236,Grand Gaube,MU,-20.0064,57.6608,70.38,79,5,4.0,clear sky
237,Tiksi,RU,71.6872,128.8694,25.72,83,100,10.18,overcast clouds
238,Port Augusta,AU,-32.5,137.7667,62.6,68,3,6.04,clear sky
239,Faya,SA,18.3851,42.4509,68.52,36,28,4.29,scattered clouds
240,Normandin,CA,48.8333,-72.5321,59.13,44,71,3.44,broken clouds
241,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.19,80,0,8.75,clear sky
242,Thompson,CA,55.7435,-97.8558,59.16,44,40,8.05,scattered clouds
243,Kaohsiung,TW,22.6163,120.3133,84.15,82,75,3.0,broken clouds
244,Kerema,PG,-7.9631,145.7785,80.04,83,100,4.83,light rain
245,Severo-Kurilsk,RU,50.6789,156.125,41.4,92,93,4.92,overcast clouds
246,Yuancheng,CN,36.652,107.7896,66.94,51,40,2.66,scattered clouds
247,Constitucion,CL,-35.3333,-72.4167,49.5,76,85,6.73,overcast clouds
248,Moree,AU,-29.4667,149.85,64.45,60,92,5.21,overcast clouds
249,Roald,NO,62.5833,6.1333,49.33,93,100,5.75,overcast clouds
250,Riverton,US,40.5219,-111.9391,77.5,23,0,7.0,clear sky
251,Elko,US,41.0002,-115.5012,80.62,9,15,13.0,few clouds
252,Salinopolis,BR,-0.6136,-47.3561,76.93,90,67,10.07,broken clouds
253,Fukue,JP,32.6881,128.8419,64.76,100,75,9.22,light intensity shower rain
254,Tarragona,ES,41.129,1.249,66.34,54,0,11.5,clear sky
255,Kloulklubed,PW,7.0419,134.2556,81.1,76,100,13.15,overcast clouds
256,Derbent,RU,42.0678,48.2899,56.43,64,8,4.88,clear sky
257,Bilibino,RU,68.0546,166.4372,58.1,36,100,12.59,overcast clouds
258,Lompoc,US,34.6391,-120.4579,66.58,70,0,11.5,clear sky
259,Vilyuysk,RU,63.7553,121.6247,40.6,57,100,11.39,overcast clouds
260,Agbor,NG,6.2518,6.1934,72.1,99,42,3.51,scattered clouds
261,Madang,PG,-5.2246,145.7966,86.0,63,100,1.54,overcast clouds
262,Walvis Bay,NA,-22.9575,14.5053,49.15,100,0,0.0,clear sky
263,Dogbo,BJ,6.8167,1.7833,74.32,96,44,2.42,light rain
264,Wilmington,US,34.2257,-77.9447,71.01,78,100,10.36,overcast clouds
265,Chirongui,YT,-12.9319,45.1483,78.73,70,0,11.45,clear sky
266,Karaton,ID,-6.3424,106.1045,75.92,90,99,1.79,overcast clouds
267,Kyabe,TD,9.4515,18.9449,79.3,66,100,5.93,overcast clouds
268,Maarianhamina,AX,60.0973,19.9348,39.06,100,0,1.14,clear sky
269,Atbasar,KZ,51.8,68.3333,64.27,43,12,9.26,few clouds
270,Mahina,PF,-17.5065,-149.489,85.77,54,20,3.44,few clouds
271,Taikang,CN,46.8333,124.4167,62.49,61,100,18.79,overcast clouds
272,Methven,NZ,-43.6333,171.65,49.01,57,30,1.01,scattered clouds
273,Moranbah,AU,-22.0016,148.0466,71.76,61,59,13.29,broken clouds
274,Sao Raimundo Nonato,BR,-9.0153,-42.6994,76.06,68,100,8.59,overcast clouds
275,Zhaoqing,CN,23.0512,112.4597,81.82,78,91,2.19,overcast clouds
276,Carballo,ES,43.213,-8.691,58.01,90,40,4.07,scattered clouds
277,Victoria,HK,22.2855,114.1577,84.38,88,58,8.99,broken clouds
278,Dunedin,NZ,-45.8742,170.5036,44.8,60,74,4.0,broken clouds
279,Waw,SS,7.7029,27.9953,74.93,75,99,4.9,overcast clouds
280,Clyde River,CA,70.4692,-68.5914,16.03,92,100,25.32,light snow
281,Bonfim,BR,3.0833,-59.95,77.09,85,91,5.93,overcast clouds
282,Nanortalik,GL,60.1432,-45.2371,33.71,79,12,8.66,few clouds
283,Aviemore,GB,57.1955,-3.8259,43.95,72,97,12.91,overcast clouds
284,Mayya,RU,61.7333,130.2811,40.32,81,100,7.0,overcast clouds
285,Wajima,JP,37.4,136.9,77.68,53,75,6.91,broken clouds
286,Samarai,PG,-10.6167,150.6667,81.57,73,82,10.4,broken clouds
287,Cabra,ES,37.4725,-4.4421,57.45,48,12,3.8,few clouds
288,Jiayuguan,CN,39.8167,98.3,66.78,17,100,7.76,overcast clouds
289,Southern Pines,US,35.174,-79.3923,69.19,89,75,10.36,broken clouds
290,Georgetown,MY,5.4112,100.3354,84.13,76,20,1.14,few clouds
291,High Level,CA,58.5169,-117.136,59.11,44,75,5.75,broken clouds
292,Shache,CN,38.4167,77.2406,80.15,19,36,6.29,scattered clouds
293,Haikou,CN,20.0458,110.3417,84.33,79,0,4.47,clear sky
294,Berlevag,NO,70.8578,29.0864,46.35,71,84,2.3,broken clouds
295,Kununurra,AU,-15.7667,128.7333,87.78,29,72,8.05,broken clouds
296,Talnakh,RU,69.4865,88.3972,31.21,72,8,4.5,clear sky
297,Paamiut,GL,61.994,-49.6678,34.54,69,25,10.45,scattered clouds
298,Aykhal,RU,66.0,111.5,32.05,75,100,14.58,overcast clouds
299,Maldonado,UY,-34.6667,-54.9167,52.99,93,100,7.61,overcast clouds
300,San Cristobal,VE,7.7669,-72.225,65.86,96,100,3.6,overcast clouds
301,Labuhan,ID,-6.8844,112.2051,81.9,75,100,1.68,overcast clouds
302,Krasnyy Yar,RU,46.5331,48.3456,51.73,59,79,7.43,broken clouds
303,Starokozache,UA,46.3372,29.9853,56.86,73,44,14.47,scattered clouds
304,Sangueya,GN,10.7,-14.3667,74.75,92,100,2.15,light rain
305,Tasiilaq,GL,65.6145,-37.6368,35.76,83,100,3.0,overcast clouds
306,San Francisco Del Mar,MX,16.2333,-94.65,84.61,72,100,10.31,overcast clouds
307,Matveyev Kurgan,RU,47.5645,38.8695,54.93,63,77,3.69,broken clouds
308,Kiunga,PG,-6.1219,141.2906,88.16,59,61,2.66,broken clouds
309,Pacific Grove,US,36.6177,-121.9166,69.39,85,0,8.99,clear sky
310,Banepa,NP,27.6298,85.5214,59.32,100,20,0.0,few clouds
311,Bethel,US,41.3712,-73.414,60.78,72,92,4.81,overcast clouds
312,Westerland,DE,54.9079,8.3033,55.94,88,75,19.57,broken clouds
313,Kasongo,CD,-4.45,26.6667,67.84,93,100,0.78,overcast clouds
314,Sadri,IN,25.1833,73.4333,82.92,68,0,9.69,clear sky
315,North Platte,US,41.1239,-100.7654,64.29,47,0,14.97,clear sky
316,San Quintin,MX,30.4833,-115.95,65.21,67,0,5.35,clear sky
317,Arlit,NE,18.7369,7.3853,85.86,24,65,8.68,broken clouds
318,Bonavista,CA,48.6499,-53.1147,44.02,77,65,15.5,broken clouds
319,Lavrentiya,RU,65.5833,-171.0,42.01,83,100,7.76,overcast clouds
320,Boca Do Acre,BR,-8.7522,-67.3978,77.9,68,60,1.86,broken clouds
321,Cap Malheureux,MU,-19.9842,57.6142,70.47,79,8,4.0,clear sky
322,Mabai,CN,23.0128,104.4508,71.53,80,97,3.38,overcast clouds
323,Dudinka,RU,69.4058,86.1778,31.62,82,7,13.96,clear sky
324,Kasongo-Lunda,CD,-6.4667,16.8167,68.61,94,27,1.86,scattered clouds
325,Shubarshi,KZ,48.5872,57.1869,53.71,66,15,10.83,few clouds
326,Opuwo,NA,-18.0607,13.84,56.8,35,0,5.64,clear sky
327,Nesna,NO,66.1967,13.0213,47.66,89,100,7.29,light rain
328,Kalabo,ZM,-14.97,22.6814,51.6,48,0,3.29,clear sky
329,Katsuura,JP,35.1333,140.3,70.23,72,100,9.28,overcast clouds
330,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,0,6.91,clear sky
331,Ayorou,NE,14.7308,0.9174,88.07,31,85,6.24,overcast clouds
332,Ustka,PL,54.5805,16.8619,49.21,92,23,13.02,few clouds
333,Douglas,US,41.3,-96.167,51.67,95,100,26.46,light rain
334,Ejigbo,NG,7.9,4.3167,70.65,98,42,3.78,scattered clouds
335,Sakaiminato,JP,35.55,133.2333,78.78,53,75,9.22,broken clouds
336,Ulefoss,NO,59.2838,9.2646,54.32,97,100,3.87,overcast clouds
337,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,5.75,broken clouds
338,Itarema,BR,-2.9248,-39.9167,76.23,90,42,9.91,scattered clouds
339,San Jeronimo,PE,-11.9472,-75.2829,43.18,94,100,6.17,overcast clouds
340,Namatanai,PG,-3.6667,152.4333,84.25,67,99,3.74,overcast clouds
341,Marand,IR,38.4329,45.7749,50.18,71,45,1.61,scattered clouds
342,Stromness,GB,58.965,-3.296,46.87,83,13,10.0,few clouds
343,Morondava,MG,-20.2833,44.2833,69.19,87,5,6.71,clear sky
344,Pangnirtung,CA,66.1451,-65.7125,9.25,96,94,8.84,overcast clouds
345,Quatre Cocos,MU,-20.2078,57.7625,70.09,68,47,9.6,scattered clouds
346,Santiago Del Estero,AR,-27.7951,-64.2615,56.98,73,100,17.36,overcast clouds
347,Saint Anthony,US,45.0205,-93.218,51.26,93,100,13.8,overcast clouds
